Paper Title,Figure No.,Subfigure,Coupling Type,Dosage,Particle Diameter (µm),Breathing Rate (L/min),Lung Region,Deposition Type,Deposition Fraction,Deposition Efficiency (%),Paper Lung Region,Our Lung Region,Lung Region Explanation,Breath Phase,Deposition Fraction (%),Figure/Table,Breathing Type,Figure Number,Shape Factor,Stokes Number
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,5.180722891566265,30,Upper Airway,Upper Airway Deposition Fraction,0.6428571428571427,64.28571428571426,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,7.309236947791164,30,Upper Airway,Upper Airway Deposition Fraction,0.7559523809523808,75.59523809523809,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,9.397590361445785,30,Upper Airway,Upper Airway Deposition Fraction,0.7936507936507935,79.36507936507935,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,11.526104417670684,30,Upper Airway,Upper Airway Deposition Fraction,0.9464285714285712,94.64285714285712,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,13.654618473895578,30,Upper Airway,Upper Airway Deposition Fraction,0.9702380952380952,97.02380952380952,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,15.7429718875502,30,Upper Airway,Upper Airway Deposition Fraction,0.988095238095238,98.8095238095238,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,17.8714859437751,30,Upper Airway,Upper Airway Deposition Fraction,0.988095238095238,98.8095238095238,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,0.9398496240601516,30,Upper Airway,Upper Airway Deposition Fraction,0.1914498141263942,19.14498141263942,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,3.0451127819548898,30,Upper Airway,Upper Airway Deposition Fraction,0.2063197026022305,20.63197026022305,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,5.18796992481203,30,Upper Airway,Upper Airway Deposition Fraction,0.2434944237918215,24.34944237918215,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,7.293233082706767,30,Upper Airway,Upper Airway Deposition Fraction,0.2936802973977692,29.36802973977692,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,9.398496240601506,30,Upper Airway,Upper Airway Deposition Fraction,0.3401486988847583,34.01486988847583,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,11.50375939849625,30,Upper Airway,Upper Airway Deposition Fraction,0.4721189591078066,47.21189591078066,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,13.609022556390975,30,Upper Airway,Upper Airway Deposition Fraction,0.5669144981412639,56.69144981412639,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,15.75187969924812,30,Upper Airway,Upper Airway Deposition Fraction,0.7007434944237918,70.07434944237917,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,17.85714285714286,30,Upper Airway,Upper Airway Deposition Fraction,0.8197026022304831,81.97026022304831,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,1-way,19.96240601503759,30,Upper Airway,Upper Airway Deposition Fraction,0.9089219330855018,90.8921933085502,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,3.082706766917296,30,Upper Airway,Upper Airway Deposition Fraction,0.5687732342007434,56.87732342007435,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,5.18796992481203,30,Upper Airway,Upper Airway Deposition Fraction,0.5185873605947955,51.85873605947955,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,7.293233082706765,30,Upper Airway,Upper Airway Deposition Fraction,0.607806691449814,60.7806691449814,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,9.398496240601505,30,Upper Airway,Upper Airway Deposition Fraction,0.6449814126394051,64.49814126394051,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,11.541353383458643,30,Upper Airway,Upper Airway Deposition Fraction,0.8085501858736058,80.85501858736059,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,13.646616541353382,30,Upper Airway,Upper Airway Deposition Fraction,0.8791821561338289,87.91821561338288,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,15.714285714285712,30,Upper Airway,Upper Airway Deposition Fraction,0.9368029739776952,93.68029739776952,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,10 ug,17.85714285714286,30,Upper Airway,Upper Airway Deposition Fraction,0.9553903345724906,95.53903345724906,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,3.082706766917294,30,Upper Airway,Upper Airway Deposition Fraction,0.6078066914498141,60.78066914498142,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,5.187969924812029,30,Upper Airway,Upper Airway Deposition Fraction,0.5780669144981412,57.80669144981412,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,7.293233082706765,30,Upper Airway,Upper Airway Deposition Fraction,0.6356877323420073,63.56877323420073,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,9.398496240601505,30,Upper Airway,Upper Airway Deposition Fraction,0.7063197026022303,70.63197026022303,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,11.50375939849624,30,Upper Airway,Upper Airway Deposition Fraction,0.8382899628252788,83.82899628252788,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,13.60902255639098,30,Upper Airway,Upper Airway Deposition Fraction,0.8866171003717471,88.66171003717471,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,15.714285714285712,30,Upper Airway,Upper Airway Deposition Fraction,0.9256505576208176,92.56505576208176,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,100 ug,17.857142857142858,30,Upper Airway,Upper Airway Deposition Fraction,0.9442379182156132,94.42379182156132,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,3.082706766917296,30,Upper Airway,Upper Airway Deposition Fraction,0.6375464684014869,63.75464684014869,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,7.293233082706765,30,Upper Airway,Upper Airway Deposition Fraction,0.6449814126394051,64.49814126394051,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,9.398496240601506,30,Upper Airway,Upper Airway Deposition Fraction,0.7397769516728623,73.97769516728623,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,11.50375939849624,30,Upper Airway,Upper Airway Deposition Fraction,0.8401486988847582,84.01486988847581,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,13.646616541353382,30,Upper Airway,Upper Airway Deposition Fraction,0.9014869888475836,90.14869888475836,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,15.714285714285715,30,Upper Airway,Upper Airway Deposition Fraction,0.933085501858736,93.3085501858736,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,17.857142857142858,30,Upper Airway,Upper Airway Deposition Fraction,0.9516728624535316,95.16728624535315,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,B,4-way,50 ug,5.18796992481203,30,Upper Airway,Upper Airway Deposition Fraction,0.587360594795539,58.7360594795539,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,0.9555189456342664,30,Total,Total Deposition Fraction,0.3415898002579365,34.15898002579365,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,3.0642504118616154,30,Total,Total Deposition Fraction,0.3645415280570807,36.45415280570807,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,5.1729818780889625,30,Total,Total Deposition Fraction,0.4120116446478185,41.20116446478185,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,7.28171334431631,30,Total,Total Deposition Fraction,0.475243582604581,47.5243582604581,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,9.423393739703464,30,Total,Total Deposition Fraction,0.5384784057565414,53.84784057565414,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,11.499176276771006,30,Total,Total Deposition Fraction,0.5859456371520815,58.59456371520815,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,13.640856672158154,30,Total,Total Deposition Fraction,0.7717724042620104,77.17724042620104,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,15.7495881383855,30,Total,Total Deposition Fraction,0.8787871793466189,87.87871793466189,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,17.858319604612852,30,Total,Total Deposition Fraction,0.9472730577587228,94.72730577587228,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,1-way,19.9670510708402,30,Total,Total Deposition Fraction,0.9772300394983224,97.72300394983225,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,3.0642504118616154,30,Total,Total Deposition Fraction,0.6832805823477988,68.32805823477987,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,5.1729818780889625,30,Total,Total Deposition Fraction,0.6431850246828449,64.31850246828449,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,7.28171334431631,30,Total,Total Deposition Fraction,0.7344379784014289,73.44379784014289,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,9.39044481054366,30,Total,Total Deposition Fraction,0.7416278848345486,74.16278848345486,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,11.499176276771006,30,Total,Total Deposition Fraction,0.8976794375023442,89.76794375023442,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,13.607907742998352,30,Total,Total Deposition Fraction,0.9451495540930822,94.5149554093082,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,15.7495881383855,30,Total,Total Deposition Fraction,0.9698554805725382,96.98554805725382,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,10 ug,17.858319604612852,30,Total,Total Deposition Fraction,0.9805480139758856,98.05480139758856,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,5.172981878088961,30,Total,Total Deposition Fraction,0.7937979844026348,79.37979844026349,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,7.28171334431631,30,Total,Total Deposition Fraction,0.860532549329625,86.0532549329625,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,9.390444810543656,30,Total,Total Deposition Fraction,0.916759233345932,91.6759233345932,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,11.499176276771006,30,Total,Total Deposition Fraction,0.9887477387282636,98.87477387282637,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,13.607907742998352,30,Total,Total Deposition Fraction,1.004694212586953,1.004694212586953,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,15.7495881383855,30,Total,Total Deposition Fraction,1.0066330637599288,1.0066330637599288,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,100 ug,17.858319604612852,30,Total,Total Deposition Fraction,1.006817716252593,1.006817716252593,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,3.0642504118616154,30,Total,Total Deposition Fraction,0.776100197058832,77.6100197058832,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,5.172981878088961,30,Total,Total Deposition Fraction,0.7500151472747889,75.00151472747889,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,7.281713344316308,30,Total,Total Deposition Fraction,0.8325115335678036,83.25115335678036,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,9.39044481054366,30,Total,Total Deposition Fraction,0.8712250827329724,87.12250827329724,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,11.532125205930807,30,Total,Total Deposition Fraction,0.9659835486169818,96.59835486169818,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,13.607907742998352,30,Total,Total Deposition Fraction,0.9836784507655868,98.36784507655868,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,15.7495881383855,30,Total,Total Deposition Fraction,0.9926225558790182,99.26225558790182,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,C,2-way,50 ug,17.858319604612852,30,Total,Total Deposition Fraction,0.987553267916341,98.7553267916341,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,0.935483870967742,30,Total,Total Deposition Fraction,0.3406733318603624,34.067333186036244,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,3.032258064516129,30,Total,Total Deposition Fraction,0.3627540874944763,36.27540874944763,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,5.129032258064517,30,Total,Total Deposition Fraction,0.412232103402563,41.2232103402563,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,7.290322580645161,30,Total,Total Deposition Fraction,0.4736908970393283,47.36908970393283,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,9.387096774193548,30,Total,Total Deposition Fraction,0.535155214317278,53.5155214317278,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,11.483870967741936,30,Total,Total Deposition Fraction,0.5846332302253645,58.46332302253645,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,13.612903225806452,30,Total,Total Deposition Fraction,0.7693824569155987,76.93824569155987,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,15.774193548387096,30,Total,Total Deposition Fraction,0.8753617984975697,87.53617984975696,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,17.870967741935484,30,Total,Total Deposition Fraction,0.9436754308440124,94.36754308440123,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,1-way,19.967741935483872,30,Total,Total Deposition Fraction,0.9726055015466196,97.26055015466196,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,3.032258064516129,30,Total,Total Deposition Fraction,0.6692609368095449,66.9260936809545,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,5.161290322580645,30,Total,Total Deposition Fraction,0.6416813963764914,64.16813963764913,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,7.290322580645161,30,Total,Total Deposition Fraction,0.7185539107379584,71.85539107379584,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,9.387096774193548,30,Total,Total Deposition Fraction,0.7286483650022094,72.86483650022095,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,11.516129032258064,30,Total,Total Deposition Fraction,0.8825756738842245,88.25756738842246,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,13.64516129032258,30,Total,Total Deposition Fraction,0.9337632567388422,93.37632567388422,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,15.741935483870968,30,Total,Total Deposition Fraction,0.9626933274414494,96.26933274414496,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,10 ug,17.838709677419356,30,Total,Total Deposition Fraction,0.9693631241714538,96.93631241714536,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,3.064516129032259,30,Total,Total Deposition Fraction,0.6966554352629253,69.66554352629252,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,5.161290322580645,30,Total,Total Deposition Fraction,0.7204485196641626,72.04485196641626,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,7.290322580645161,30,Total,Total Deposition Fraction,0.7682114449845339,76.82114449845339,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,9.387096774193548,30,Total,Total Deposition Fraction,0.7954291869200176,79.54291869200176,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,11.516129032258064,30,Total,Total Deposition Fraction,0.9116852629253204,91.16852629253204,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,13.64516129032258,30,Total,Total Deposition Fraction,0.9474618868758286,94.74618868758286,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,15.741935483870968,30,Total,Total Deposition Fraction,0.978104286345559,97.8104286345559,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,100 ug,17.870967741935484,30,Total,Total Deposition Fraction,0.983058992487848,98.3058992487848,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,3.032258064516129,30,Total,Total Deposition Fraction,0.7377540874944764,73.77540874944764,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,5.161290322580645,30,Total,Total Deposition Fraction,0.7118868758285462,71.18868758285461,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,7.290322580645161,30,Total,Total Deposition Fraction,0.757937472381794,75.79374723817939,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,9.387096774193548,30,Total,Total Deposition Fraction,0.8022785019885108,80.22785019885109,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,11.516129032258064,30,Total,Total Deposition Fraction,0.8996989615554574,89.96989615554574,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,13.64516129032258,30,Total,Total Deposition Fraction,0.9457495581087052,94.57495581087052,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,15.741935483870968,30,Total,Total Deposition Fraction,0.9678303137428192,96.78303137428192,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Deposition simulations of realistic dosages in,11,D,4-way,50 ug,17.870967741935484,30,Total,Total Deposition Fraction,0.9813466637207248,98.13466637207247,Total,Whole Lung,Entire lung system including all airway regions.,,,,,,,
Numerical Simulation of the Airflow and Aerosol Particle,,,,,2.0,15,Whole lung,,,10.08,Whole lung,Whole Lung,Entire lung system including all airway regions.,2nd ins.,10.08,Figure 7,,,,
Numerical Simulation of the Airflow and Aerosol Particle,,,,,2.0,15,Whole lung,,,3.84,Whole lung,Whole Lung,Entire lung system including all airway regions.,2nd exp.,3.84,Figure 7,,,,
